,item_category_id,month_0,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_13,month_14,month_15,month_16,month_17,month_18,month_19,month_20,month_21,month_22,month_23,month_24,month_25,month_26,month_27,month_28,month_29,month_30,month_31,month_32,month_33
0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1390.0,1190.0,1025.0,646.0,596.0,667.0,618.0,674.0,792.0,790.0,759.0,2192.0,1339.0,742.0,645.0,508.0,444.0,487.0,351.0,342.0,355.0,372.0,357.0,573.0,370.0,307.0,229.0,170.0,146.0,104.0,114.0,132.0,89.0,82.0
3,3,440.0,302.0,293.0,202.0,146.0,150.0,233.0,300.0,383.0,391.0,744.0,3004.0,1180.0,1909.0,1140.0,669.0,716.0,855.0,873.0,1182.0,1282.0,1123.0,1127.0,2459.0,1398.0,834.0,773.0,746.0,667.0,559.0,603.0,975.0,1090.0,1059.0
4,4,251.0,220.0,226.0,160.0,175.0,176.0,179.0,140.0,86.0,89.0,83.0,112.0,96.0,46.0,58.0,35.0,43.0,54.0,46.0,35.0,21.0,27.0,9.0,20.0,10.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0
5,5,623.0,358.0,354.0,275.0,281.0,329.0,355.0,299.0,289.0,257.0,255.0,650.0,279.0,245.0,257.0,183.0,195.0,174.0,199.0,201.0,156.0,121.0,121.0,276.0,178.0,85.0,88.0,67.0,44.0,51.0,48.0,45.0,31.0,44.0
6,6,870.0,668.0,646.0,465.0,441.0,502.0,622.0,637.0,729.0,1016.0,687.0,1391.0,1006.0,722.0,678.0,507.0,584.0,700.0,617.0,661.0,652.0,642.0,598.0,1139.0,700.0,400.0,334.0,266.0,274.0,319.0,243.0,277.0,237.0,242.0
7,9,149.0,159.0,211.0,138.0,95.0,124.0,83.0,124.0,141.0,253.0,976.0,362.0,158.0,419.0,772.0,399.0,552.0,192.0,208.0,200.0,416.0,356.0,1398.0,1129.0,467.0,480.0,492.0,1003.0,2005.0,528.0,513.0,276.0,816.0,2524.0
8,11,375.0,236.0,249.0,200.0,150.0,256.0,293.0,302.0,450.0,356.0,215.0,880.0,487.0,262.0,238.0,154.0,133.0,147.0,119.0,111.0,78.0,72.0,91.0,214.0,95.0,68.0,42.0,37.0,29.0,24.0,19.0,9.0,6.0,6.0
9,13,84.0,80.0,76.0,34.0,31.0,27.0,9.0,5.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,14,143.0,107.0,102.0,61.0,82.0,92.0,107.0,100.0,99.0,96.0,93.0,447.0,128.0,91.0,124.0,117.0,95.0,77.0,84.0,95.0,77.0,72.0,56.0,301.0,64.0,51.0,43.0,24.0,12.0,6.0,10.0,2.0,1.0,3.0
11,15,268.0,222.0,198.0,136.0,123.0,183.0,178.0,199.0,249.0,330.0,267.0,603.0,339.0,218.0,156.0,112.0,156.0,175.0,153.0,140.0,132.0,137.0,142.0,479.0,248.0,61.0,52.0,30.0,43.0,51.0,46.0,51.0,60.0,43.0
