item_name, item_id, item_category_id 
! EN EL PODER DE LA NAVEGACIÓN (PLÁSTICO) D, 0,40 
"""! ABBYY FineReader 12 Professional Edition Full [PC, Digital]"", 1,76 "
*** EN EL RAYO DE GLORIA (UNV) D, 2,40 
*** BLUE WAVE (Univ) D , 3,40 
*** CAJA (VIDRIO) D, 4,40 
*** NEW AMERICAN GRAFFITI (UNI) D, 5,40 
*** GATE KICK (UNI) D, 6,40 
** * KICK ON GATE-2 (UNI) D, 7,40 
* ** TÉ CON MUSSOLINI D, 8,40 
*** SHUGARLAND EXPRESS (UNI) D, 9,40 
* MÁS ALLÁ DE LA MUERTE D, 10,40 
* LÍNEA DE MUERTE D, 11,40
* MIHEI Y JUMANJI Perra amor, 12,55 
* SALVANDO A EMILY D, 13,40 
* PROFESOR LOCA / MAGIA / D, 14,40 
// ADRENALINA: UNO CONTRA TODOS (Región), 15,40 
// MONGOL S, Bodrov (Región), 16,40 
// SALIDA DE A TRACE (Región), 17,40 
/ BOMBA NOVIA / 2DVD / D, 18,40 
/ COLECCIÓN DORADA m / f-72,19,40 
/ UNA VEZ EN CHINA-2,20, 40 
/ LA ÚLTIMA OPORTUNIDAD, 21,40 
/ LA MALDICIÓN DEL CHARRO, 22,40 
/ NORTE Y SOUTH 
/ P,2 / 23,40 / DISTRIBUCIÓN MORTAL, 24,40 
/ ERES UN CADÁVER, 25,40 
/ TRISTEZA MULTIPLICADOR t, 2 (ser, 3-4), 26,40 
"""007 Leyendas [PS3, versión rusa]"", 27,19 "
"""007 Leyendas [ PC, Jewel, versión rusa] "", 28,30"
"""007 Legends [Xbox 360 Russian]"", 29,23 "
007: SKYFALL COORDINATES, 30,40 
007: SKYFALL COORDINATES (BD), 31,37 
1 + 1,32,40 
1 + 1 (BD), 33,37 
10,000 BCE WB (región), 34,40 
10 AÑOS DESPUÉS , 35,40 
10 AÑOS DESPUÉS (BD), 36,37 
10 AÑOS DESPUÉS (región), 37,40 
10 PELÍCULAS MÁS POPULARES SIGLO XX 10DVD (rem), 38,41 
10 COMEDIAS NACIONALES MÁS POPULARES DEL SIGLO XX (BD), 39,41 
100 Mejores melodías clásicas (mp3 -CD) (Digipack), 40,57 
100 Mejores melodías relajantes (mp3-CD) (CD-Digipack), 41,57 
100 Mejores melodías románticas (mp3-CD) (Digipack), 42,57 
100 MILLONES EURO, 43,40 
100 mejores melodías anti-estrés ( mp3-CD) (CD-Digipack), 44,57
Top 100 Folk Songs (mp3-CD) (CD-Digipack), 45,57 
Top 100 Bach Works (mp3-CD) (Digipack), 46,57 Top 
100 Beethoven Works (mp3-CD) (Digipack), 47,57 Las 
100 mejores obras de Vivaldi ( mp3-CD) (CD-Digipack), 48,57 
100 mejores obras de Mozart (mp3-CD) (Digipack), 49,57 
100 mejores obras de Rachmaninoff (mp3-CD) (Jewel), 50,57 
100 mejores composiciones clásicas (mp3-CD) (Digipack), 51,57 
100 mejores obras de música de piano (mp3-CD) (CD-Digipack), 52,57 
100 mejores romances rusos (mp3-CD) (CD-Digipack), 53,57 
100 mejores romances gitanos (mp3-CD) (CD -Digipack), 54,57 
100 Little Tales favoritos (mp3-CD) (Jewel), 55,43
100 canciones favoritas, Alexandra Pakhmutova (paquete de regalo) (MP3-CD) (Joya), 56,57 
100 poods de multits (paquete de regalo) (MP3-CD) (Joya), 57,57 
"""100 maravillas de Rusia [PC, versión digital]"", 58,78 "
100 obras maestras de clásicos (mp3-CD) (Digipack), 59,57 
1000 frases en inglés para todas las ocasiones (mp3-CD) (Jewel), 60,43 
1000 y una noche 2CD (mp3-DVD) (DVD-Book), 61,43 
10000 AÑOS A,C, WB (BD), 62,37 
101 DALMATIAN wd, 63,40 
101 DALMATIAN 2 m / f (región), 64,40 
101 DALMATIAN 2: LONDON PATCH ADVENTURE (BD), 65,37 
101 DALMATIAN M / F (BD)), 66,37 
101 DALMATIAN m / f (región), 67,40 
"""101 dálmatas, Cuento de hadas interactivo [PC-CD, Jewel]"", 68,30"
"""101 consejos para desarrolladores novatos en el sistema 1C: Enterprise 8"" ""[Versión digital]"", 69,54 "
"""Consejos 101 para desarrolladores novatos en el sistema 1C: Enterprise 8"", Khrustaleva E,Yu, "", 70,49 "
11 AMIGOS DE OCHEN WB (BD), 71,37 
11 AMIGOS DE OCHEN WB (región), 72,40 
11-11-11 (región), 73,40 
12 AMIGOS DE OCHEN WB (BD), 74,37 
12 AMIGOS DE OCHEN WB (región), 75,40 
12 AÑOS DE ESCLAVITUD ( BD), 76,37 
12 AÑOS DE ESCLAVITUD (región), 77,40 
12 MESES, 78,40 
12 MESES, NUEVO CUENTO DE HADAS, 79,40 
12 RONDAS (BD), 80,37 
12 DESEOS DE NAVIDAD, 81,40 
12 / DOCE (BD), 82,37 
12 / DOCE (SR) (Región), 83,40 
127 HORAS, 84, 40 
127 HORAS (BD + DVD), 85,
13 AMIGOS DE OACHEN WB (BD), 87,37 
13 AMIGOS DE OCHEN WB (región), 88,40 
13TH WARRIOR wd, 89,40 
DISTRITO 13: Brick Mansions, 90,40 
DISTRICT 13: Brick Mansions (BD), 91,37 
DISTRITO 13: ULTIMATUM (BD), 92,37 
15 cuentos de hadas famosos Niños de 0 a 3 años (mp3-CD) (Joya), 93,43 
16 DESEOS , 94,40 
1812, ENCICLOPEDIA GRAN GUERRA, 95,40 
1812, ENCICLOPEDIA 
DE GUERRA (región), 96,40 1812: SERIE 4 (región) , 97,40 
1812: ULAN BALLAD, 98,40 
1812: ULAN BALLAD (BD), 99,37 
1812: ULAN BALLAD (región), 100,40 
"""1C: Escuela, Física, 9cl, [PC, versión digital]"", 101,78 "
"""1C-Bitrix: Sitio Gestión: pequeñas empresas [PC, versión digital] "", 102,76"
"""1C-Bitrix: Administración del sitio - Estándar [PC, Digital]"", 103,76 "
"""1C-Bitrix: Administración del sitio - Inicio (Bitrix) [PC, Digital]"", 104,76 "
"""1C: Snowball ORIGINALS"" ""Europa Universalis III, In Nomine """" "", 105,30 "
""" 1C: Bola de nieve JUGUETES """" Día de la Victoria II, Nueva guerra """" "", 106,30 "
1C: Audio, En armonía con la naturaleza, Música para una conducción silenciosa del automóvil [Versión digital], 107,44 
1C: Audio, En armonía con la naturaleza, Descanso en el bosque [Versión digital], 108,44 
1C: Audio, Música para restaurar el equilibrio del alma y el cuerpo (Jewel), 109,57 
1C: Audio, Música para restablecer el equilibrio del alma y el cuerpo [Versión digital], 110,44 
1C: Audio, Música para sanar el cuerpo (Joya), 111,57 
1C: Audio,
1C: audio, Música para aliviar el estrés (Jewel), 113,57 
1C: Audio, Música para aliviar el estrés [Versión digital], 114,44 
1C: Audio, Música de la naturaleza (Joya), 115,57 
1C: Audio, Música de la pasión: aumentando el tono (Joya), 116,57 
1C: Audio, Música de la pasión: mejorar el tono [Versión digital], 117,44 
"""1C: Audiolibros"" ""Los cuentos de hadas de Alenushka"" ""[Versión digital]"", 118,44 "
"""1C: Audiolibros"" ""Baba Yaga - Golden leg"" ""[Versión digital]"", 119,44 "
"""1C: Audiolibros"" ""Dama con un perro"" ""[Versión digital]"", 120,44 "
"""1C: Audiolibros"" ""Monasterio de cadetes"" ""[Versión digital]"", 121,44 "
"""1C: Audiolibros"" ""Love"" ""[Versión digital] "", 122,"
"""Historias místicas de escritores rusos"" "", A, Pushkin, F, M, Dostoevsky [Digital in"", 132,44 1C: Audiolibros, 25 cuentos de hadas famosos, 133,45"
1C: Audiolibros, La vuelta al mundo en 80 días (por Jules Verne) (Jewel), 134,45 
1C: Audiolibros, Mosaico clásico, Historias en inglés, Parte 1,135,45 
